Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
49947212,03/07/2021 12:01:18 AM,03/07/2021 01:58:06 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11378,72-28 CALDWELL AVENUE,CALDWELL AVENUE,72 STREET,74 STREET,72 STREET,74 STREET,,MASPETH,CALDWELL AVENUE,,Closed,,The Police Department issued a summons in response to the complaint.,03/07/2021 06:58:10 AM,05 QUEENS,4028350082,QUEENS,1015112,203353,MOBILE,Unspecified,QUEENS,,,,,,,,40.72477987852236,-73.88865626237313,"(40.72477987852236, -73.88865626237313)"
49952293,03/07/2021 12:01:19 AM,03/07/2021 12:31:31 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,335 EAST   13 STREET,EAST   13 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,,NEW YORK,EAST   13 STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,03/07/2021 05:31:33 AM,03 MANHATTAN,1004550048,MANHATTAN,988544,205699,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.731271870174375,-73.98450662748084,"(40.731271870174375, -73.98450662748084)"
49949622,03/07/2021 12:01:22 AM,03/07/2021 12:30:21 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,328 SPRING STREET,SPRING STREET,GREENWICH STREET,WASHINGTON STREET,GREENWICH STREET,WASHINGTON STREET,,NEW YORK,SPRING STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 05:30:22 AM,02 MANHATTAN,1005957504,MANHATTAN,981504,203801,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72606293957067,-74.00990719034759,"(40.72606293957067, -74.00990719034759)"
49947116,03/07/2021 12:01:28 AM,03/07/2021 12:06:28 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10009,131 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,,NEW YORK,ST MARKS PLACE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,03/07/2021 05:06:31 AM,03 MANHATTAN,1004360034,MANHATTAN,988592,204216,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.727201374138566,-73.98433439348193,"(40.727201374138566, -73.98433439348193)"
49945999,03/07/2021 12:01:41 AM,03/07/2021 12:18:24 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11374,65 ROAD,65 ROAD,65 ROAD,WOODHAVEN BOULEVARD,65 ROAD,WOODHAVEN BOULEVARD,,,,,Closed,,The Police Department issued a summons in response to the complaint.,03/07/2021 05:18:30 AM,06 QUEENS,,QUEENS,1021759,201412,MOBILE,Unspecified,QUEENS,,,,,,,,40.71942662137827,-73.8646861079004,"(40.71942662137827, -73.8646861079004)"
49946108,03/07/2021 12:01:56 AM,03/07/2021 01:16:42 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,410 EAST  203 STREET,EAST  203 STREET,WEBSTER AVENUE,DEAD END,WEBSTER AVENUE,DEAD END,,BRONX,EAST  203 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 06:16:47 AM,07 BRONX,2033307501,BRONX,1018192,256376,ONLINE,Unspecified,BRONX,,,,,,,,40.8703021287969,-73.87727626514504,"(40.8703021287969, -73.87727626514504)"
49951909,03/07/2021 12:02:19 AM,03/07/2021 01:21:34 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10456,1067 TELLER AVENUE,TELLER AVENUE,EAST  165 STREET,EAST  166 STREET,EAST  165 STREET,EAST  166 STREET,,BRONX,TELLER AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,03/07/2021 06:21:37 AM,04 BRONX,2024330067,BRONX,1008318,241625,PHONE,Unspecified,BRONX,,,,,,,,40.82984746565987,-73.9130305083245,"(40.82984746565987, -73.9130305083245)"
49948286,03/07/2021 12:02:22 AM,03/07/2021 12:45:47 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11230,947 EAST SEVENTH STREET,EAST SEVENTH STREET,DEAD END,AVENUE I,DEAD END,AVENUE I,,BROOKLYN,EAST    7 STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,03/07/2021 05:45:48 AM,12 BROOKLYN,3065100072,BROOKLYN,992656,167952,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.627661977481615,-73.96971702228652,"(40.627661977481615, -73.96971702228652)"
49948570,03/07/2021 12:02:23 AM,03/07/2021 12:38:22 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11204,1647 64 STREET,64 STREET,16 AVENUE,17 AVENUE,16 AVENUE,17 AVENUE,,BROOKLYN,64 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 05:38:23 AM,11 BROOKLYN,3055380064,BROOKLYN,986162,165848,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.621890720238184,-73.99311253320779,"(40.621890720238184, -73.99311253320779)"
49948929,03/07/2021 12:03:08 AM,03/07/2021 12:07:18 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10009,131 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,,NEW YORK,ST MARKS PLACE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,03/07/2021 05:07:20 AM,03 MANHATTAN,1004360034,MANHATTAN,988592,204216,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.727201374138566,-73.98433439348193,"(40.727201374138566, -73.98433439348193)"
49951801,03/07/2021 12:03:11 AM,03/07/2021 12:35:19 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11354,40-05 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,ROOSEVELT AVENUE,40 ROAD,ROOSEVELT AVENUE,40 ROAD,,FLUSHING,COLLEGE POINT BOULEVARD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 05:35:22 AM,07 QUEENS,4050370008,QUEENS,1030194,215420,PHONE,Unspecified,QUEENS,,,,,,,,40.75783525453179,-73.83416120158091,"(40.75783525453179, -73.83416120158091)"
49948143,03/07/2021 12:03:13 AM,03/07/2021 02:00:02 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,,10302,324 HEBERTON AVENUE,HEBERTON AVENUE,ALBION PLACE,POST AVENUE,ALBION PLACE,POST AVENUE,,STATEN ISLAND,HEBERTON AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 07:00:07 AM,01 STATEN ISLAND,5010370049,STATEN ISLAND,947089,169941,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.633047402149785,-74.13388495885826,"(40.633047402149785, -74.13388495885826)"
49945771,03/07/2021 12:03:29 AM,03/07/2021 12:26:47 AM,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,10040,5 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,SIDNEY OFFERMAN WAY,BENNETT AVENUE,SIDNEY OFFERMAN WAY,,NEW YORK,NAGLE AVENUE,,Closed,,The Police Department reviewed your complaint and provided additional information below.,03/07/2021 05:26:51 AM,12 MANHATTAN,1021710001,MANHATTAN,1003556,252455,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85958432163458,-73.9302067622133,"(40.85958432163458, -73.9302067622133)"
49944719,03/07/2021 12:03:38 AM,03/07/2021 01:21:54 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,35 FT WASHINGTON AVENUE,FT WASHINGTON AVENUE,WEST  160 STREET,WEST  161 STREET,WEST  160 STREET,WEST  161 STREET,,NEW YORK,FT WASHINGTON AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 06:21:57 AM,12 MANHATTAN,1021360083,MANHATTAN,999596,244037,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.83648717098654,-73.9445418445243,"(40.83648717098654, -73.9445418445243)"
49947095,03/07/2021 12:03:54 AM,03/07/2021 01:47:49 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10314,303 ELVIN STREET,ELVIN STREET,HOLDEN BOULEVARD,QUEEN STREET,HOLDEN BOULEVARD,QUEEN STREET,,STATEN ISLAND,ELVIN STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 06:47:50 AM,02 STATEN ISLAND,5007530012,STATEN ISLAND,950464,159258,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.60373833051039,-74.12167194544446,"(40.60373833051039, -74.12167194544446)"
49947924,03/07/2021 12:03:55 AM,03/07/2021 12:53:09 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,40 EAST   12 STREET,EAST   12 STREET,UNIVERSITY PLACE,FRED BASS WAY,UNIVERSITY PLACE,FRED BASS WAY,,NEW YORK,EAST   12 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 05:53:11 AM,02 MANHATTAN,1005630026,MANHATTAN,986404,206574,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73367431033234,-73.99222777654643,"(40.73367431033234, -73.99222777654643)"
49945789,03/07/2021 12:04:00 AM,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,667755 EMPIRE BLVD,EMPIRE BLVD,ALBANY AVE,TROY AVE,,,ADDRESS,,,,Open,,,,Unspecified BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
49951751,03/07/2021 12:04:01 AM,03/07/2021 12:24:20 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11229,1730 EAST   18 STREET,EAST   18 STREET,QUENTIN ROAD,AVENUE R,QUENTIN ROAD,AVENUE R,,BROOKLYN,EAST   18 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 05:24:22 AM,15 BROOKLYN,3068000016,BROOKLYN,996694,160685,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.60771082122425,-73.95518334927056,"(40.60771082122425, -73.95518334927056)"
49945554,03/07/2021 12:04:09 AM,03/07/2021 01:21:58 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,79-08 60 STREET,60 STREET,79 AVENUE,COOPER AVENUE,79 AVENUE,COOPER AVENUE,,RIDGEWOOD,60 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 06:22:02 AM,05 QUEENS,4035710045,QUEENS,1013136,192653,ONLINE,Unspecified,QUEENS,,,,,,,,40.69541761164242,-73.89583116265992,"(40.69541761164242, -73.89583116265992)"
49952515,03/07/2021 12:04:14 AM,03/07/2021 01:04:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11361,47-20 BELL BOULEVARD,BELL BOULEVARD,47 AVENUE,48 AVENUE,47 AVENUE,48 AVENUE,,BAYSIDE,BELL BOULEVARD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 06:04:48 AM,11 QUEENS,4073300023,QUEENS,1048654,214990,ONLINE,Unspecified,QUEENS,,,,,,,,40.756539823188305,-73.76753263942949,"(40.756539823188305, -73.76753263942949)"
49949455,03/07/2021 12:04:40 AM,03/07/2021 12:41:35 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11374,61-61 WOODHAVEN BOULEVARD,WOODHAVEN BOULEVARD,DRY HARBOR ROAD,62 AVENUE,DRY HARBOR ROAD,62 AVENUE,,REGO PARK,WOODHAVEN BOULEVARD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 05:41:37 AM,06 QUEENS,4031050028,QUEENS,1020045,204363,ONLINE,Unspecified,QUEENS,,,,,,,,40.727533494081484,-73.87085366648199,"(40.727533494081484, -73.87085366648199)"
49947601,03/07/2021 12:05:11 AM,03/07/2021 12:41:37 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10035,12 EAST  128 STREET,EAST  128 STREET,5 AVENUE,MADISON AVENUE,5 AVENUE,MADISON AVENUE,,NEW YORK,EAST  128 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 05:41:41 AM,11 MANHATTAN,1017520165,MANHATTAN,1000765,233698,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80810743978679,-73.94034270025605,"(40.80810743978679, -73.94034270025605)"
49945796,03/07/2021 12:05:16 AM,03/07/2021 12:36:34 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11228,920 72 STREET,72 STREET,FT HAMILTON PARKWAY,10 AVENUE,FT HAMILTON PARKWAY,10 AVENUE,,BROOKLYN,72 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 05:36:36 AM,10 BROOKLYN,3059130012,BROOKLYN,980449,167666,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.626880140381665,-74.013693105885,"(40.626880140381665, -74.013693105885)"
49948068,03/07/2021 12:05:21 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10452,1313 NELSON AVENUE,NELSON AVENUE,WEST  169 STREET,WEST  170 STREET,WEST  169 STREET,WEST  170 STREET,,BRONX,NELSON AVENUE,,In Progress,,,,04 BRONX,2025210070,BRONX,1005371,245384,PHONE,Unspecified,BRONX,,,,,,,,40.84017237011714,-73.92366762300286,"(40.84017237011714, -73.92366762300286)"
49948556,03/07/2021 12:05:26 AM,03/07/2021 12:19:49 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11210,1410 NEW YORK AVENUE,NEW YORK AVENUE,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,,BROOKLYN,NEW YORK AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 05:19:51 AM,17 BROOKLYN,3049950030,BROOKLYN,999424,171814,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.638253339455936,-73.94532633138226,"(40.638253339455936, -73.94532633138226)"
49945019,03/07/2021 12:05:39 AM,03/07/2021 12:40:04 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,55 AVENUE O,AVENUE O,WEST   10 STREET,WEST    9 STREET,WEST   10 STREET,WEST    9 STREET,,BROOKLYN,AVENUE O,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,03/07/2021 05:40:06 AM,11 BROOKLYN,3065750031,BROOKLYN,988921,161630,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61031215882353,-73.9831768944931,"(40.61031215882353, -73.9831768944931)"
49950013,03/07/2021 12:06:08 AM,03/07/2021 12:32:31 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,335 EAST   13 STREET,EAST   13 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,,NEW YORK,EAST   13 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,03/07/2021 05:32:36 AM,03 MANHATTAN,1004550048,MANHATTAN,988544,205699,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.731271870174375,-73.98450662748084,"(40.731271870174375, -73.98450662748084)"
49949685,03/07/2021 12:06:34 AM,03/07/2021 12:54:52 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10451,281 EAST  153 STREET,EAST  153 STREET,MORRIS AVENUE,COURTLANDT AVENUE,MORRIS AVENUE,COURTLANDT AVENUE,,BRONX,EAST  153 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 05:54:53 AM,01 BRONX,2024130001,BRONX,1006280,238010,MOBILE,Unspecified,BRONX,,,,,,,,40.819930640493666,-73.92040666711807,"(40.819930640493666, -73.92040666711807)"
49947968,03/07/2021 12:06:56 AM,03/07/2021 01:40:40 AM,NYPD,New York City Police Department,Homeless Street Condition,N/A,Street/Sidewalk,11385,61-02 MYRTLE AVENUE,MYRTLE AVENUE,61 STREET,CENTRAL AVENUE,61 STREET,CENTRAL AVENUE,,RIDGEWOOD,MYRTLE AVENUE,,Closed,,The Police Department visited the location and no Homeless Street Condition was found.,03/07/2021 06:40:47 AM,05 QUEENS,4035920001,QUEENS,1013612,194625,ONLINE,Unspecified,QUEENS,,,,,,,,40.70082872171125,-73.89410601391944,"(40.70082872171125, -73.89410601391944)"
49945206,03/07/2021 12:07:12 AM,03/07/2021 03:00:33 AM,MAYOR'S OFFICE OF SPECIAL ENFORCEMENT,Mayor's Office of Special Enforcement,NonCompliance with Phased Reopening,Business not in compliance,Store/Commercial,10013,80 NORTH MOORE STREET,NORTH MOORE STREET,GREENWICH STREET,WEST STREET,GREENWICH STREET,WEST STREET,,NEW YORK,NORTH MOORE STREET,,Closed,,Thank you for your report. It will be used to inform the Cityâs ongoing work to ensure that New Yorkâs phased reopening is happening in a safe manner.,03/07/2021 08:00:37 AM,01 MANHATTAN,1001420025,MANHATTAN,981280,201652,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.720164382374236,-74.01071440319367,"(40.720164382374236, -74.01071440319367)"
49951286,03/07/2021 12:07:29 AM,03/07/2021 01:29:00 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10026,95 WEST  119 STREET,WEST  119 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,,NEW YORK,WEST  119 STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,03/07/2021 06:29:04 AM,10 MANHATTAN,1017180001,MANHATTAN,997960,232518,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.804873463890026,-73.95047763722518,"(40.804873463890026, -73.95047763722518)"
49952575,03/07/2021 12:07:30 AM,03/07/2021 12:44:25 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,,11223,1683 WEST    7 STREET,WEST    7 STREET,AVENUE P,QUENTIN ROAD,AVENUE P,QUENTIN ROAD,,BROOKLYN,WEST    7 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/07/2021 05:44:27 AM,11 BROOKLYN,3066250043,BROOKLYN,989695,160201,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60638940491183,-73.9803904030367,"(40.60638940491183, -73.9803904030367)"
49948962,03/07/2021 12:07:39 AM,03/07/2021 12:50:15 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11692,191 SEA GRASS LANE,SEA GRASS LANE,OCEAN AVENUE NORTH,ROCKAWAY BEACH BOULEVARD,OCEAN AVENUE NORTH,ROCKAWAY BEACH BOULEVARD,,ARVERNE,SEA GRASS LANE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 05:50:18 AM,14 QUEENS,4159050115,QUEENS,1041909,155279,ONLINE,Unspecified,QUEENS,,,,,,,,40.59269363908372,-73.79238955024475,"(40.59269363908372, -73.79238955024475)"
49949129,03/07/2021 12:07:50 AM,03/07/2021 04:30:44 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10462,2160 WALLACE AVENUE,WALLACE AVENUE,LYDIG AVENUE,PELHAM PARKWAY SOUTH,LYDIG AVENUE,PELHAM PARKWAY SOUTH,,BRONX,WALLACE AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/07/2021 09:30:47 AM,11 BRONX,2043210013,BRONX,1021658,250923,ONLINE,Unspecified,BRONX,,,,,,,,40.855321300428585,-73.86477474057286,"(40.855321300428585, -73.86477474057286)"
49946513,03/07/2021 12:07:59 AM,03/07/2021 12:38:24 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11229,1485 EAST   29 STREET,EAST   29 STREET,KINGS HIGHWAY,AVENUE P,KINGS HIGHWAY,AVENUE P,,BROOKLYN,EAST   29 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,03/07/2021 05:38:27 AM,15 BROOKLYN,3076900051,BROOKLYN,999376,163078,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61427494068608,-73.94551885788042,"(40.61427494068608, -73.94551885788042)"
